GRB,T90,T90rc,Class,Feature,Instrument,HR23,HR14,HR24,HR34,z,Morphology,HostType,Offset,e_Offset,E_Offset,SFR,e_SFR,E_SFR,m_SFR,sSFR,e_sSFR,E_sSFR,Metal,e_Metal,E_Metal,m_Metal,Mass,e_Mass,E_Mass,Reference
110818A,103.0,23.618977733954,L,,Swift,,,,,3.3609,,,,,,44.0,26.0,62.0,H beta,,,,0.3630780547701013,0.1589042603031484,0.1739537416001513,E,,,,Li 2016
110918A,,,L,,,,,,,0.9843,,,,,,23.0,11.0,28.0,H alpha,4.8e-10,,,1.7378008287493754,0.3888379461577218,0.5009203098189641,E,47863009232.2638,14749897084.004726,21320087859.62983,Li 2016
111005A,27.0,26.64561334254416,L,No SN,Swift,0.56,,,,0.0133,Spiral,Low SF,,,,0.16,,,UV,3e-11,,,0.7413102413009192,0.0652272659089344,0.0715202748631803,Balmer emission,4786300923.22638,,,"Li 2016, Tanga 2018, MichalowskI 2018"
111008A,63.46,10.594677618618318,L,,Swift,1.1356649149251097,3.725116492415604,2.457594274928369,2.1640135594841654,4.9898,,,,,,9.9,,,UV,,,,0.0234422881531992,0.0060642798657054,0.0081804884484845,A/Fe,,,,Li 2016
111107A,26.6,6.832776778833805,L,,Swift,1.4305733161401937,8.03026688806427,4.3259351003662925,3.023917090833224,2.893,,,,,,,,,,,,,0.3548133892335754,,,A/S,,,,Li 2016
111117A,0.47,0.146371846776705,S,,Swift,2.794601530054414,79.50782394581849,23.53043383600611,8.419960263726024,2.211,,SF,10.52,,1.68,4.786300923226384,2.094766119299468,127.03937293241437,SED,7.413102413009162e-10,3.9457339084838504e-10,2.3247018948893935e-08,0.5623413251903491,0.4210875707280736,0.7259082265027847,SED,6309573444.801943,3219278012.2883506,21232713588.579803,"Fong 2022, Jeong 2024, Nugent 2022"
111123A,290.0,69.85763495772409,L,,Swift,1.2657851318336135,5.336054809105941,3.201474865416548,2.529240378087629,3.1513,,,,,,77.0,52.0,163.0,[OII],,,,0.2089296130854039,0.0992817934710854,0.1891775574680932,E,,,,Li 2016
111129A,7.6,3.654548951721485,L,,Swift,0.6939369143312476,0.7530607378955345,0.7604313846551654,1.0958220681890067,1.0796,,,,,,5.1,3.4,10.8,[OII],,,,,,,,,,,Li 2016
111209A,,,L,SN,,1.42481966204441,7.92191048111856,4.282919794080242,3.0059381605773683,0.677,,,,,,0.35,0.13,0.26,H alpha,,,,0.1819700858609983,0.0589432087797602,0.181107968909103,E,,,,"Li 2016, SNTABLE"
111211A,,,L,SN,,,,,,0.4786,,,,,,0.12,0.03,0.29,H alpha,,,,,,,,,,,"Li 2016, SNTABLE"
111215A,796.0,260.1307189542484,L,,Swift,1.3149821471591971,6.058428736759946,3.515198871319426,2.673191327284127,2.06,,,2.844,,0.763,34.0,13.0,33.0,Literature,1.0800000000000002e-09,,,,,,,31622776601.683792,11670153451.994965,8187940453.665901,"Blanchard 2016, Li 2016, Schneider 2022"
111228A,101.2,58.96061524120251,L,SN,Swift,0.858242471650623,1.490802767753396,1.25426751534253,1.461437247366992,0.7164,,,,,,0.32,0.22,0.56,H beta,,,,,,,,,,,"Li 2016, SNTABLE"
120118B,23.26,5.899360860302323,L,,Swift,0.9526866497973075,2.0930520390140344,1.6089405745242953,1.688845513754823,2.9428,,,,,,28.0,11.0,21.0,H beta,,,,0.1584893192461113,0.0513373887223507,0.1106641611465802,E,,,,Li 2016
120119A,253.8,92.96703296703298,L,,Swift,1.53971391393778,10.280162451297633,5.189911622258906,3.370698657249798,1.73,,,0.099,,0.146,25.5,14.1,14.1,Literature,2.155e-08,,,0.8128305161640993,0.2239868608085103,0.3091879381378642,E,3801893963.2056127,1047665259.8674492,1446180639.2921214,"Blanchard 2016, Li 2016, Perley 2016, Schneider 2022"
120305A,0.1,0.0816326530612244,S,,Swift,2.0109904766329727,25.473581582804943,10.140050479721337,5.042316508976688,0.225,,Q,18.09,,5.25,57.543993733715695,0.0,0.0,SED,9.120108393559116e-12,0.0,0.0,0.1047128548050899,0.0023835555770145,0.0074889906251063,SED,1905460717.9632444,356644099.0507648,848767985.3749189,"Fong 2022, Jeong 2024, Nugent 2022"
120327A,62.9,16.496197220036716,L,,Swift,1.397526609615818,7.424889568838467,4.083287850646826,2.921796137942109,2.813,,,,,,5.0,,,,5e-10,,,0.0309029543251359,0.006914625134941,0.0089077627302138,A/S,10000000000.0,,,Li 2016
120422A,5.35,4.1712147200997975,L,SN,Swift,1.0094390602979355,2.528656506238153,1.8485871201432,1.8313013562181653,0.2826,,,,,,1.38,0.12,0.13,H alpha,1.55e-09,,,0.5011872336272722,0.0938069558231595,0.1154077682342099,E,891250938.1337441,78420421.96964467,85986282.82206309,"Li 2016, SNTABLE"
120624B,,,L,,Swift,1.845269564085776,18.98672346417496,8.161311782304516,4.422829022462078,2.1974,,,,,,30.0,13.0,73.0,H alpha,7.5e-10,,,0.5495408738576245,0.254419951190986,0.3214227160984562,E,39810717055.34969,14691852740.253872,39622106417.07853,Li 2016
120630A,0.6,0.38860103626943,S,,Swift,1.95884561474209,23.28039540649989,9.487470754535192,4.843398930029691,0.544,,SF,,,,21.87761623949553,18.489174678103502,78.12238376050448,SED,3.235936569296281e-09,2.972909770106743e-09,2.1311152587554013e-08,,,,SED,6760829753.919819,4069294949.992905,10221606770.69764,Jeong 2024
120711A,,,L,,,,,,,1.405,,,0.137,,0.133,,,,,,,,,,,,,,,"Blanchard 2016, Li 2016"
120714B,159.0,113.6932427601001,L,SN,Swift,1.3856063523646671,7.21555753515924,3.9981563950088015,2.885492252677373,0.3985,,,,,,0.27,0.05,0.07,H alpha,,,,0.5011872336272722,0.1121420886329916,0.1444669954073832,E,,,,"Li 2016, SNTABLE"
120716A,,,L,,,,,,,2.486,,,,,,,,,,,,,0.0173780082874937,,,A/Fe,,,,Li 2016
120722A,42.4,21.64369576314446,L,,Swift,0.9938250430526872,2.402702711794844,1.7804921218817338,1.7915548962347307,0.959,,,,,,22.0,4.0,4.0,H alpha,,,,0.6165950018614822,0.126816182493036,0.1596521147672095,E,,,,Li 2016
120729A,71.5,39.72222222222222,L,SN,Swift,1.3080370545915767,5.951959288813607,3.46960465426079,2.6525278026960364,0.8,,,,,,6.0,4.0,25.0,SED,3.0070000000000004e-08,,,,,,,199526231.49688828,73633690.31747115,116701534.51994967,"Li 2016, SNTABLE"
120804A,0.81,0.3951219512195122,S,,Swift,1.5812114879681676,11.24501010828286,5.544851020859985,3.506710558993619,1.05,,Q,2.22,,1.23,1.7378008287493754,0.0,337.1063553104534,SED,1.9952623149688828e-11,0.0,2.3968376567045258e-08,0.8912509381337456,0.5750231721169077,0.4270058004226617,SED,28840315031.266117,25451873469.874084,23640430993.711224,"Fong 2022, Jeong 2024, Nugent 2022"
120805A,48.0,11.707317073170731,L,,Swift,1.7253215989749295,15.10601541081826,6.893980521414643,3.995765499899024,3.1,,,,,,39.0,8.3,9.5,UV,,,,,,,,,,,Li 2016
120815A,9.7,2.8880221514276356,L,,Swift,0.8121197960195213,1.247182774884656,1.1004749341698792,1.3550647817768828,2.3587,,,,,,2.3,1.0,2.7,H alpha,2.2999999999999998e-10,,,0.1174897554939529,0.0303933964983448,0.0409995637521584,A/Zn,10000000000.0,,,Li 2016
120909A,,,L,,,1.5489233821892288,10.488415855821753,5.267321924010914,3.400634262855628,3.93,,,,,,24.7,,,UV,,,,0.2187761623949552,0.0489517971487808,0.0630621307314901,A/S,,,,Li 2016
120922A,173.0,42.19512195121951,L,,Swift,1.0003680419327252,2.45499094040254,1.8088803947911245,1.80821489588606,3.1,,,,,,7.5,,,UV,,,,,,,,,,,Li 2016
121024A,69.0,20.90149036713922,L,,Swift,1.599852290169373,11.698230738709452,5.708867723704193,3.5683717545572957,2.3012,,,,,,37.0,4.0,4.0,H alpha,4.66e-09,,,0.5248074602497725,0.1267002896962753,0.1512755151422091,E,7943282347.242822,3962210641.707853,4645971770.69884,Li 2016
121027A,62.6,22.573200634645897,L,,Swift,1.1382037318618603,3.7524068198168026,2.470870229115539,2.1708505779309983,1.7732,,,,,,24.0,15.0,41.0,[OIII],,,,,,,,,,,Li 2016
121201A,85.0,19.39310974218572,L,,Swift,1.0970590389051296,3.3233809802150307,2.259799991906407,2.059870901899408,3.383,,,,,,30.0,21.0,68.0,[OII],,,,,,,,,,,Li 2016
121226A,1.0,0.4219409282700421,S,,Swift,1.41078232860154,7.663194594591779,4.179456564546387,2.9625098640761527,1.37,,SF,2.31,,9.15,54.954087385762456,34.536707939067156,114.870277860412,SED,3.801893963205613e-10,2.02361455316669e-10,2.931121818505346e-09,0.954992586021436,0.29429913801384,0.333256965671698,SED,141253754462.27554,93390745230.01176,44954959204.01102,"Fong 2022, Jeong 2024, Nugent 2022"
130131B,4.3,1.2149295058344871,L,,Swift,1.8050116734683204,17.610421923393783,7.720403363004912,4.277204118115312,2.5393,,,,,,8.0,5.0,13.4,[OIII],,,,,,,,,,,Li 2016
130408A,28.0,5.88606264452386,L,,Swift,1.800445212251875,17.46063661210761,7.671848584410471,4.261084165296562,3.757,,,,,,9.6,,,UV,,,,0.0575439937337156,0.013892410509699,0.0183137637692026,A/S,,,,Li 2016
130427B,27.0,7.142857142857143,L,,Swift,1.2945538369503666,5.750293973204247,3.382673023299914,2.613002971949483,2.78,,,4.013,,0.033,0.34,0.06,0.2,H alpha,3.4000000000000007e-10,,,0.7585775750291838,0.1962362498388347,0.2414224249708162,E,1000000000.0,369042655.51980567,584893192.4611108,Li 2016
130505A,88.0,26.91131498470948,L,,Swift,1.2234326663671928,4.765406736045788,2.9457779710110468,2.407797381900968,2.27,,,,,,,,,,,,,0.0380189396320561,,,A/Fe,,,,Li 2016
130515A,0.29,0.1611111111111111,S,,Swift,,,,,0.8,,SF,61.22,,13.77,2.9512092266663856,2.562164081672105,0.8506847365392258,SED,1.1748975549395304e-10,1.0200158930482823e-10,2.7054221580639767e-11,0.2041737944669529,0.0222037086059546,0.1048557487844061,SED,25118864315.09582,4225903006.555412,1796483724.173317,"Fong 2022, Jeong 2024, Nugent 2022"
130528A,59.4,26.4,L,,Swift,1.3642065103070369,6.849360570512106,3.8476028515417138,2.820396195496639,1.25,,,,,,6.8,,,[OII],,,,,,,,,,,Li 2016
130603B,0.18,0.1326650943396226,S,HC KN,Swift,2.262454401863462,38.19352866995739,13.67885668211112,6.046025356729657,0.3568,,SF,5.4,,0.2,4.570881896148751,3.59364467519294,21.731798022805062,SED,1.2302687708123811e-09,1.1451549669921435e-09,7.281111611211378e-09,0.3981071705534972,0.0669760490709061,0.6983710255896877,SED,3715352290.971728,831320787.8451161,9167143225.959597,"Fong 2022, Jeong 2024, Li 2016, Nugent 2022"
130606A,276.58,40.00867929986981,L,,Swift,1.396014925681141,7.398610072289653,4.072584524458998,2.9172929669587235,5.913,,,,,,,,,,,,,0.0501187233627272,0.0301661002130384,0.0757738178166895,A/S/Si,,,,Li 2016
130701A,4.38,2.032671245591238,L,,Swift,,,,,1.1548,,,,,,0.78,0.6,2.03,[OII],,,,,,,,,,,Li 2016
130702A,,,L,SN,,,,,,0.145,,,,,,0.05,,,H alpha,6.3e-10,,,0.2951209226666385,,,E/PP04/N2,79432823.47242822,63583891.547817074,318674347.0810687,"Li 2016, SNTABLE"
130716A,0.8,0.25,S-EE,,Fermi,1.605757626944385,11.84431402852906,5.7615579435645605,3.5880620131497034,2.2,,,33.08,,14.23,,,,,,,,,,,,,,,"Fong 2022, Cummings 2013"
130822A,0.04,0.0346620450606585,S,,,1.254931245989298,5.185371987128031,3.1347276771855945,2.497927824495596,0.154,,SF,60.09,,4.9,1.1481536214968828,1.0569525375612918,121.87872345974122,SED,1.0715193052376048e-10,9.864055014173672e-11,2.3881177259671093e-08,0.4073802778041127,0.0911525117872747,0.3005655065800252,SED,10715193052.376047,6824741602.433245,23169222561.544155,"Fong 2022, Jeong 2024, Nugent 2022"
130912A,0.28,,S,,Swift,1.7356812177129894,15.417006384907053,6.9982573743661485,4.031994644493165,,,,3.9,,1.06,,,,,,,,,,,,,,,Fong 2022
130925A,,,L,,,0.9637627879572866,2.1733519657621123,1.6540560324748783,1.7162480779950855,0.3483,,,0.765,,0.051,2.9,0.4,0.5,H alpha,9.199999999999999e-10,,,1.096478196143185,0.1844673567872753,0.2217785424132219,E,3162277660.1683793,1167015345.1994965,1849594676.1043353,"Blanchard 2016, Li 2016"
131004A,1.54,0.8969132207338381,S,,Swift,1.1445900860533162,3.822696732808255,2.504781596713963,2.188365622972282,0.717,,,0.8,,0.22,,,,,,,,,,,,,,,Fong 2022
131103A,17.3,10.839598997493734,L,,Swift,1.1540119466563823,3.927354566998406,2.5550549782847827,2.214062848905302,0.596,,,,,,4.4,0.9,1.2,H alpha,,,,0.6165950018614822,0.1488598605742839,0.1596521147672095,E,,,,Li 2016
131105A,112.3,41.81872346763983,L,,Swift,,,,,1.6854,,,,,,31.0,13.0,25.0,H alpha,,,,0.831763771102671,0.3069563108528984,0.3985049997097106,E,,,,Li 2016
131231A,,,L,,,,,,,0.6427,,,,,,1.38,0.2,0.28,H alpha,,,,0.5754399373371569,0.1389241050969909,0.1658703039637605,E,,,,Li 2016
140114A,139.7,34.925,L,,Swift,0.9530595114395154,2.095511010354108,1.6103489137027125,1.6896624968050706,3.0,,,,,,24.5,5.3,6.0,UV,,,,,,,,,,,Li 2016
140129B,1.36,0.9510489510489512,S,,Swift,0.8524130397291363,1.4582092241864326,1.234098348154969,1.447770377312761,0.43,,SF,1.76,,1.76,3.801893963205611,1.231498180436748,125.02306120610776,SED,2.2387211385683374e-10,1.167201833330733e-10,2.3764457076338018e-08,0.3235936569296282,0.0073658909127903,0.0152504992095742,SED,1174897554.9395304,923708911.7885722,866840389.7300012,"Fong 2022, Jeong 2024, Nugent 2022"
140213A,60.0,27.17514380180262,L,,Swift,1.1508002114302711,3.8917047812419496,2.5379318232186945,2.205362666786816,1.2079,,,,,,0.72,0.34,2.65,H alpha,,,,,,,,,,,Li 2016
140226A,,,L,,,,,,,1.98,,,,,,,,,,,,,0.2884031503126605,,,A/Fe,,,,Li 2016
140301A,31.0,12.833781825708964,L,,Swift,1.0257459073976778,2.6648319845140738,1.9212317950776607,1.8730094667906936,1.4155,,,,,,106.0,25.0,36.0,H alpha,,,,1.5848931924611136,0.2966436407679795,0.364951407296932,E,,,,Li 2016
140311A,71.4,11.991938192811556,L,,Swift,1.2337579926840865,4.90027131171177,3.006907513762544,2.437193948564341,4.954,,,,,,,,,,,,,0.0223872113856834,,,A/Ni,,,,Li 2016
140331A,209.0,104.5,L,,Swift,1.0271170053975818,2.676701858428619,1.9275241798088232,1.8766354462826824,1.0,,,,,,5.3,2.4,4.3,Literature,3.193565806194091e-11,,,,,,,165958690743.75632,53756845313.559784,47837518206.46692,Schneider 2022
140423A,134.0,31.455399061032864,L,,Swift,1.5854769098275847,11.347232402152423,5.582003406280513,3.520709366172691,3.26,,,,,,,,,,,,,0.0363078054770101,,,A/Fe,,,,Li 2016
140430A,173.6,66.72047350013452,L,,Swift,0.996139359836412,2.421251566495354,1.7905650248877747,1.79750454312118,1.6019,,,,,,8.5,3.8,7.1,H alpha,,,,0.954992586021436,0.3383975841599538,0.4904471847244914,E,,,,Li 2016
140506A,111.1,58.804848356534166,L,,Swift,1.3596275298643692,6.772670840024909,3.815837854678856,2.80653176760808,0.8893,,,,,,0.35,0.19,0.35,H alpha,3.5e-10,,,,,,,1000000000.0,,,Li 2016
140515A,23.4,3.1967213114754096,L,,Swift,1.1674811308686197,4.081219526124249,2.628330348385997,2.251282936307919,6.32,,,,,,,,,,,,,0.0794328234724281,,,A/O,,,,Li 2016
140518A,60.5,10.601016295777116,L,,Swift,1.0774820387476325,3.1322021436069427,2.1635646693260258,2.0079821208349395,4.707,,,,,,,,,,,,,0.087096358995608,,,A/S,,,,Li 2016
140606B,,,L,SN,,,,,,0.384,,,,,,0.052,0.005,0.005,H alpha,,,,,,,,,,,"Li 2016, SNTABLE"
140622A,0.13,0.0663603879530372,S,,Swift,0.4736308610616815,0.2262299116046795,0.3158056780731981,0.666775972674784,0.959,,SF,32.95,,11.25,48.97788193684461,27.10026569734909,53.351417291230746,SED,4.466835921509635e-09,2.516991321751585e-09,6.004449558999371e-09,0.3162277660168379,0.0142325939766363,0.0149033554657531,SED,11220184543.019651,2100076149.4605389,6976824043.080246,"Fong 2022, Jeong 2024, Nugent 2022"
140903A,0.3,0.2220577350111028,S,,Swift,,,,,0.351,,SF,0.9,,0.1,27.542287033381665,26.587294447360225,191.23387536157352,SED,1.5488166189124795e-09,1.5242695297556295e-09,2.243951257128237e-08,0.1023292992280754,0.0023292992280754,0.0048226312956852,SED,18197008586.099827,9685628204.076069,46368414317.3658,"Fong 2022, Jeong 2024, Nugent 2022"
140930B,0.84,0.3407707910750507,S,,Swift,,,,,1.465,,SF,9.62,,4.3,58.8843655355589,55.86441381515688,15.246658594532876,SED,2.4547089156850285e-08,2.4307205864948336e-08,0.0,0.8128305161640993,0.5244273658514387,0.4754190355290347,SED,2398832919.019495,493372201.05624294,11090795906.897066,"Fong 2022, Jeong 2024, Nugent 2022"
141212A,0.3,0.18796992481203,S,,Swift,1.315709484144381,6.069738247912196,3.520059516692572,2.67540787621646,0.596,,SF,18.75,,12.29,1.17,0.45,0.31,SED,2.29086765276777e-10,7.059744603066592e-11,1.2572662395679758e-10,0.1778279410038923,0.0519353998244755,0.1172929816627462,SED,5128613839.913659,959920005.2102956,1037336178.7011756,"Fong 2022, Jeong 2024, Nugent 2022"
150101B,0.018,0.0158730158730158,S,LC KN,Swift,,,,,0.134,,Q,7.36,,0.072,0.22,0.02,0.02,SED,1.659586907437563e-12,1.804785192693558e-13,2.0250022922531018e-13,0.7762471166286917,0.0349368753277742,0.0365833995354075,SED,134896288259.1656,6071333089.851852,6357466203.10994,"Fong 2022, Jeong 2024, Nugent 2022"
150120A,1.2,0.821917808219178,S,,Swift,1.140512104079806,3.7778976022867,2.4831335587669807,2.177209299124831,0.46,,SF,4.77,,6.44,2.28,0.91,0.68,SED,2.1877616239495518e-10,8.695048853931472e-11,1.4430189237514659e-10,0.3548133892335754,0.1036247460826174,0.2206265481035814,SED,10232929922.807535,2104624761.166542,2356324195.1341248,"Fong 2022, Jeong 2024, Nugent 2022"
150314A,14.79,5.358695652173913,L,,Swift,1.894392494768752,20.76586254769817,8.71946764115693,4.602777758693197,1.76,,,,,,,,,Literature,,,,,,,,10232929922.807535,4609516670.904046,18607385108.45846,Schneider 2022
150424A,0.5,0.3846153846153846,S-EE,LC KN,Swift,,,,,0.3,,,3.41,,0.32,,,,,,,,,,,,,,,"Fong 2022, Beardmore 2015"
150728A,0.83,0.568104038329911,S,,Swift,0.987438848799881,2.352718703633666,1.7531940551678014,1.7754963330626583,0.461,,SF,7.52,,20.29,8.13,0.66,0.6,SED,3.6307805477010173e-09,2.4233898630898327e-10,2.5967090224178733e-10,0.3235936569296282,0.0284727342629897,0.0312197323039472,SED,2238721138.568338,50959514.61878586,52146514.199431896,"Fong 2022, Jeong 2024, Nugent 2022"
150831A,0.92,0.4220183486238533,S,,Swift,2.442586278782194,49.77599451910201,16.638722957325076,6.811928447260697,1.18,,SF,12.43,,9.9,5.99,3.62,2.43,SED,1.9054607179632444e-09,1.0543226797608684e-09,1.9849907319795606e-09,0.3981071705534972,0.2321484798097411,0.5568854154679387,SED,3090295432.513592,952333343.0113596,1480586463.63516,"Fong 2022, Jeong 2024, Nugent 2022"
151229A,1.44,0.8834355828220859,S,,Swift,1.1146023781005527,3.5020291579039218,2.348496699868998,2.107026457157918,0.63,,SF,8.16,,6.05,0.22,1.78,0.22,SED,4.67735141287198e-10,4.6375406958166303e-10,2.4162963618394135e-09,0.3311311214825911,0.176249459591343,0.5006326496200799,SED,616595001.861481,478556575.4011928,763789262.7414,"Fong 2022, Jeong 2024, Nugent 2022"
160303A,5.0,2.4875621890547266,S,,Swift,1.9297445597279563,22.12126968805461,9.136080487823842,4.734347062552046,1.01,,SF,15.31,,0.9,2.37,2.3,1.76,SED,7.413102413009162e-10,5.791292315650236e-10,9.964905874484531e-10,0.4466835921509631,0.2647135062899648,0.5083089938704728,SED,3235936569.296281,997215430.727943,1230899352.213354,"Fong 2022, Jeong 2024, Nugent 2022"
160408A,0.32,0.1103448275862069,S,,Swift,,,,,1.9,,SF,14.13,,1.25,3.57,9.67,2.53,SED,1.584893192461111e-09,9.241997444535171e-10,3.312895001223345e-09,0.3467368504525316,0.1882475312064202,0.4850269206501393,SED,2089296130.8540409,1681915853.049929,7243246877.115884,"Fong 2022, Jeong 2024, Nugent 2022"
160411A,0.36,0.1978021978021978,S,,Swift,1.5049427082882587,9.520066156062708,4.904331712087513,3.258816222755592,0.82,,SF,1.4,,2.3,1.1,6.05,0.96,SED,1.479108388168207e-09,1.1479772666856164e-09,2.987727533341428e-09,0.3388441561392025,0.1909333173223817,0.5321194338168782,SED,758577575.0291852,470174424.716524,1696131340.6558485,"Fong 2022, Jeong 2024, Nugent 2022"
160509A,,,L,,,,,,,1.17,,,,,,,,,Literature,,,,,,,,6309573444.801943,2507679481.59633,5171962770.166899,Schneider 2022
160525B,0.29,0.1768292682926829,S,,Swift,1.0728771271331414,3.0883743134530124,2.1412630511866504,1.995813870045274,0.64,,SF,5.5,,7.38,1.37,23.16,0.85,SED,7.943282347242822e-09,5.75552072329327e-09,1.2949678961297586e-08,0.2691534803926916,0.0993291151465171,0.4894240946364923,SED,109647819.61431828,68909791.83390707,9890352180.38568,"Fong 2022, Jeong 2024, Nugent 2022"
160601A,0.12,,S,,Swift,2.0324969221742504,26.416795543804177,10.416218700292688,5.124838609423333,,,,1.38,,4.06,,,,,,,,,,,,,,,Fong 2022
160624A,0.2,0.134752728742757,S,,Swift,3.175848974486329,124.43707502829204,32.786868906678,10.32381236326927,0.4842,,SF,9.63,,6.24,1.28,1.09,0.44,SED,2.29086765276777e-10,9.104833881648891e-11,2.2800142433809814e-10,0.954992586021436,0.703803942870478,0.4253916785814488,SED,5495408738.576248,818057325.7042665,814164706.2256947,"Fong 2022, Jeong 2024, Nugent 2022"
160821B,0.48,0.4131164471985541,S,LC KN,Swift,,,,,0.1619,,SF,15.74,,0.03,0.24,0.01,0.01,SED,1.3803842646028866e-10,6.212752604647659e-12,6.505550614304146e-12,1.2589254117941673,0.1369069574922039,0.1536121328285871,SED,1737800828.7493763,0.0,0.0,"Fong 2022, Jeong 2024, Nugent 2022"
161001A,2.6,1.5568862275449102,S,,Swift,1.901078994214176,21.01696240675604,8.797315293797615,4.6275380037188025,0.67,,SF,18.54,,6.22,0.53,0.59,0.31,SED,9.549925860214368e-11,5.4761230821732296e-11,1.0867453586480947e-10,0.6456542290346555,0.3826274298451174,0.4763642252673078,SED,5370317963.702533,584017040.4761524,518118589.8533516,"Fong 2022, Jeong 2024, Nugent 2022"
161104A,0.1,0.0557724484104852,S,,Swift,1.8211672456191377,18.15432147429039,7.895688726415743,4.335509956819735,0.793,,Q,1.66,,16.6,0.06,0.04,0.02,SED,3.3113112148259077e-12,1.1733491253236752e-12,2.0590067488766248e-12,1.0471285480508996,0.1138742472539086,0.183140222761482,SED,16982436524.61746,1494270335.4926014,1638434842.0111942,"Fong 2022, Jeong 2024, Nugent 2022"
170127B,0.51,0.1554878048780487,S,,Swift,2.164960027023984,32.81407357879746,12.22643846413692,5.647419957653322,2.28,,SF,10.37,,13.6,10.25,32.99,8.19,SED,3.162277660168379e-09,2.0657994640251966e-09,7.070652262639156e-09,0.3235936569296282,0.1651043376835169,0.4177165843712892,SED,3235936569.296281,2423106053.132181,7728845392.135549,"Fong 2022, Jeong 2024, Nugent 2022"
170428A,0.2,0.1376462491397109,S,,Swift,,,,,0.453,,SF,7.72,,3.39,0.4,0.02,0.01,SED,8.317637711026709e-11,0.0,0.0,1.5488166189124817,0.0,0.0,SED,4786300923.22638,108949510.35439873,225571413.04633427,"Fong 2022, Jeong 2024, Nugent 2022"
170728B,0.8,0.352112676056338,S-EE,,Swift,1.0892815328502374,3.2464599007535826,2.2213653284292643,2.039294031375701,1.272,,SF,8.4,,2.55,10.95,5.22,4.14,SED,1.445439770745928e-09,5.94301732543552e-10,9.533931482735667e-10,1.0,0.3543457709653445,0.288249551693134,SED,7413102413.009162,1524665859.4532776,2136823447.2051687,"Fong 2022, Jeong 2024, Nugent 2022, Ukwatta 2017"
170817,2.64,2.6144049752918925,S,HC KN,Fermi GBM,1.6690140845070425,3.923664122137404,3.6197183098591545,2.1687763713080166,0.00979,Elliptical,Q,1.96,,,0.02,0.0,0.0,SED,4.570881896148751e-13,1.1035133916234277e-13,9.245268424274966e-14,0.7413102413009175,0.0333644569167795,0.0349368753277742,SED,40738027780.41122,1833513280.9831696,948910566.6222458,"Abbott 2017, Goldstein 2017, Levan 2017, Pan 2017, Jeong 2024, Nugent 2022"
180418A,2.29,0.89453125,S,,Swift,1.560629962604669,10.758953378129284,5.367103068731605,3.4390619155959223,1.56,,SF,1.3,,0.32,12.93,20.7,10.57,SED,1.737800828749376e-09,1.1623608914122195e-09,4.01659854462219e-09,0.3715352290971725,0.2055765383534165,0.4994283608589081,SED,6760829753.919819,5175936561.458708,10221606770.69764,"Fong 2022, Jeong 2024, Nugent 2022"
180618A,0.3,0.1973684210526315,S-EE,,Swift,,,,,0.52,,SF,9.7,,1.69,1.85,1.77,1.1,SED,2.884031503126611e-09,1.709133948187081e-09,5.05925084411621e-09,0.2630267991895382,0.1217730447272627,0.3124131381476188,SED,645654229.0346563,388614650.7577698,502499392.4622278,"Fong 2022, Jeong 2024, Nugent 2022, Sakamoto 2018a"
180727A,1.1,0.3728813559322034,S,,Swift,1.320686681307257,6.146529744543906,3.5527934167225643,2.69011073330875,1.95,,SF,2.56,,5.13,3.09,10.66,2.46,SED,1.737800828749376e-09,1.0771073807417795e-09,3.757607909826871e-09,0.3548133892335754,0.2102694121589827,0.5571974501223342,SED,1698243652.461746,1447055009.3107877,6064227513.825181,"Fong 2022, Nugent 2022"
180805B,0.1,0.0601974476282205,S-EE,,Swift,1.884994151382121,20.415029878676165,8.610532958264073,4.5679361667783605,0.6612,,SF,24.3,,7.49,1.51,0.36,0.26,SED,6.760829753919818e-10,1.2654210153435707e-10,1.7505506281039404e-10,0.5888436553555889,0.1814633775514761,0.2622943828467875,SED,2187761623.949552,192499308.9806693,211071295.06993297,"Fong 2022, Jeong 2024, Nugent 2022, Sakamoto 2018b"
181123B,0.26,0.0944081336238199,S,,Swift,,,,,1.754,,SF,5.08,,1.38,11.68,7.45,4.01,SED,1.445439770745928e-09,6.868621957167425e-10,2.1853407769550894e-09,0.3981071705534972,0.2031227105776926,0.4336566005491737,SED,7943282347.242822,2814668507.3291626,3538253867.72602,"Fong 2022, Jeong 2024, Nugent 2022"
191031D,0.29,0.098976109215017,S,,Swift,2.2795542771050945,39.20126457842785,13.944728282534264,6.117304783039992,1.93,,SF,13.08,,10.69,35.98,34.5,35.56,SED,1.148153621496884e-09,1.074022597366792e-09,1.942141811016708e-09,0.6456542290346555,0.3826274298451174,0.5846145417777261,SED,23988329190.194942,20677017975.369022,12319476286.815231,"Fong 2022, Jeong 2024, Nugent 2022"
200219A,0.5,0.3378378378378378,S-EE,,Swift,1.469975224267083,8.796502846629632,4.626580166674313,3.147386493524805,0.48,,SF,8.3,,5.28,9.91,1.86,1.26,SED,1.778279410038923e-10,2.991710218707158e-11,6.205535089805719e-11,1.5135612484362082,0.0344528602680007,0.0352553704762732,SED,54954087385.76248,7091078153.49868,3930278149.796356,"Fong 2022, Jeong 2024, Nugent 2022, Laha 2020"
