GRB,T90,T90rc,Class,Feature,Instrument,HR23,HR14,HR24,HR34,z,Morphology,HostType,Offset,e_Offset,E_Offset,SFR,e_SFR,E_SFR,m_SFR,sSFR,e_sSFR,E_sSFR,Metal,e_Metal,E_Metal,m_Metal,Mass,e_Mass,E_Mass,Reference
081008,185.5,62.52106504887091,L,,Swift,1.2983445494512793,5.806574019664674,3.4069839965036945,2.6240985090926685,1.967,,L,13.902,,0.236,,,,,,,,0.1380384264602885,0.0380384264602884,0.0525076453360362,A/S,1513561248.436207,,,"Blanchard 2016, Perley 2016"
081028A,284.42,70.4358593363051,L,,Swift,1.1699567343525603,4.109794089067818,2.641860422839899,2.2580838635044667,3.038,,L,,,,,,,,,,,,,,,,,,Li 2016
081029,270.0,55.69421811506013,L,,Swift,1.5085163931574734,9.595776005561447,4.9328745505204,3.270017198948304,3.8479,,L,,,,4.2,,,UV,1.710997166777271e-09,,,,,,,2454708915.685034,,,Perley 2016
081109,221.49,111.94844579226688,L,,Swift,,,,,0.9785,,L,1.364,,0.486,11.8,2.9,4.1,H alpha,1.79e-09,,,1.1481536214968828,0.2148993206998918,0.2643839231258715,E,6606934480.075964,1236616516.3734312,1521370681.565031,Blanchard 2016
081118,67.0,18.71508379888268,L,,Swift,0.928047097541149,1.9217192982578388,1.5111583506326238,1.628320755095751,2.58,,L,,,,,,,,,,,,,,,1513561248.436207,,,Perley 2016
081121,14.0,3.988603988603989,L,,Swift,1.8815247376853672,20.288966367140773,8.571168278902796,4.555437463685416,2.51,,L,0.342,,0.226,,,,Literature,,,,,,,,1737800828.7493763,,,"Blanchard 2016, Perley 2016, Schneider 2022"
081203A,223.0,73.11475409836066,L,,Swift,1.4888122392569298,9.180154462934851,4.774520704514239,3.206932733772537,2.05,,L,,,,,,,,,,,,0.01,,,,,,Li 2016
081210,146.0,47.664131109007215,L,,Swift,1.540742150103135,10.303150991211334,5.198523793560623,3.374038798907813,2.0631,,L,,,,15.3,7.0,111.7,H beta,9.009307926940501e-10,,,,,,,16982436524.61746,,,Perley 2016
081221,34.0,10.429447852760736,L,,Swift,,,,,2.26,,L,3.195,,0.609,35.0,2.0,2.0,Literature,9.4e-10,,,,,,,38018939632.05613,1711134155.0459518,1791777423.2935638,"Blanchard 2016, Perley 2016, Schneider 2022"
081222,24.0,6.36604774535809,L,,Swift,1.5052553379716194,9.526425289531293,4.906594003065546,3.2596423206692235,2.77,,L,,,,,,,,,,,,,,,4073802778.041122,,,Perley 2016
